# Pastiera symbol search: code point (hex) and Unicode name. Unicode 15.0.0.
# Every symbol, punctuation and numeric symbol, except colour emoji the emoji picker offers.
21	exclamation mark
22	quotation mark
23	number sign
24	dollar sign
25	percent sign
26	ampersand
27	apostrophe
28	left parenthesis
29	right parenthesis
2a	asterisk
2b	plus sign
2c	comma
2d	hyphen-minus
2e	full stop
2f	solidus
3a	colon
3b	semicolon
3c	less-than sign
3d	equals sign
3e	greater-than sign
3f	question mark
40	commercial at
5b	left square bracket
5c	reverse solidus
5d	right square bracket
5e	circumflex accent
5f	low line
60	grave accent
7b	left curly bracket
7c	vertical line
7d	right curly bracket
7e	tilde
a1	inverted exclamation mark
a2	cent sign
a3	pound sign
a4	currency sign
a5	yen sign
a6	broken bar
a7	section sign
a8	diaeresis
a9	copyright sign
aa	feminine ordinal indicator
ab	left-pointing double angle quotation mark
ac	not sign
ae	registered sign
af	macron
b0	degree sign
b1	plus-minus sign
b2	superscript two
b3	superscript three
b4	acute accent
b5	micro sign
b6	pilcrow sign
b7	middle dot
b8	cedilla
b9	superscript one
ba	masculine ordinal indicator
bb	right-pointing double angle quotation mark
bc	vulgar fraction one quarter
bd	vulgar fraction one half
be	vulgar fraction three quarters
bf	inverted question mark
d7	multiplication sign
f7	division sign
2c2	modifier letter left arrowhead
2c3	modifier letter right arrowhead
2c4	modifier letter up arrowhead
2c5	modifier letter down arrowhead
2d2	modifier letter centred right half ring
2d3	modifier letter centred left half ring
2d4	modifier letter up tack
2d5	modifier letter down tack
2d6	modifier letter plus sign
2d7	modifier letter minus sign
2d8	breve
2d9	dot above
2da	ring above
2db	ogonek
2dc	small tilde
2dd	double acute accent
2de	modifier letter rhotic hook
2df	modifier letter cross accent
2e5	modifier letter extra-high tone bar
2e6	modifier letter high tone bar
2e7	modifier letter mid tone bar
2e8	modifier letter low tone bar
2e9	modifier letter extra-low tone bar
2ea	modifier letter yin departing tone mark
2eb	modifier letter yang departing tone mark
2ed	modifier letter unaspirated
2ef	modifier letter low down arrowhead
2f0	modifier letter low up arrowhead
2f1	modifier letter low left arrowhead
2f2	modifier letter low right arrowhead
2f3	modifier letter low ring
2f4	modifier letter middle grave accent
2f5	modifier letter middle double grave accent
2f6	modifier letter middle double acute accent
2f7	modifier letter low tilde
2f8	modifier letter raised colon
2f9	modifier letter begin high tone
2fa	modifier letter end high tone
2fb	modifier letter begin low tone
2fc	modifier letter end low tone
2fd	modifier letter shelf
2fe	modifier letter open shelf
2ff	modifier letter low left arrow
375	greek lower numeral sign
37e	greek question mark
384	greek tonos
385	greek dialytika tonos
387	greek ano teleia
391	greek capital letter alpha
392	greek capital letter beta
393	greek capital letter gamma
394	greek capital letter delta
395	greek capital letter epsilon
396	greek capital letter zeta
397	greek capital letter eta
398	greek capital letter theta
399	greek capital letter iota
39a	greek capital letter kappa
39b	greek capital letter lamda
39c	greek capital letter mu
39d	greek capital letter nu
39e	greek capital letter xi
39f	greek capital letter omicron
3a0	greek capital letter pi
3a1	greek capital letter rho
3a3	greek capital letter sigma
3a4	greek capital letter tau
3a5	greek capital letter upsilon
3a6	greek capital letter phi
3a7	greek capital letter chi
3a8	greek capital letter psi
3a9	greek capital letter omega
3aa	greek capital letter iota with dialytika
3ab	greek capital letter upsilon with dialytika
3ac	greek small letter alpha with tonos
3ad	greek small letter epsilon with tonos
3ae	greek small letter eta with tonos
3af	greek small letter iota with tonos
3b0	greek small letter upsilon with dialytika and tonos
3b1	greek small letter alpha
3b2	greek small letter beta
3b3	greek small letter gamma
3b4	greek small letter delta
3b5	greek small letter epsilon
